source_id,metric,metric_label,latest_time_s,latest_value_w
viscosity_screening_salt_test_3_kirst_coarse_mesh,net_total_q_w,Net total wall heat,3298.0,0.868638036540025
viscosity_screening_salt_test_3_kirst_coarse_mesh,section_downcomer_net_q_w,Downcomer net wall heat,3298.0,-25.267407880999997
viscosity_screening_salt_test_3_kirst_coarse_mesh,section_heater_net_q_w,Heater net wall heat,3298.0,273.15593531999997
viscosity_screening_salt_test_3_kirst_coarse_mesh,section_upcomer_net_q_w,Upcomer net wall heat,3298.0,-21.957635345760004
viscosity_screening_salt_test_3_kirst_coarse_mesh,section_test_section_net_q_w,Test-section net wall heat,3298.0,-10.2680828
viscosity_screening_salt_test_3_kirst_coarse_mesh,section_cooling_branch_net_q_w,Cooling branch net wall heat,3298.0,-150.76963876
viscosity_screening_salt_test_3_kirst_coarse_mesh,section_upper_transport_net_q_w,Upper transport net wall heat,3298.0,-13.5273113223
viscosity_screening_salt_test_3_kirst_coarse_mesh,section_lower_transport_net_q_w,Lower transport net wall heat,3298.0,-7.3023636868
viscosity_screening_salt_test_3_kirst_coarse_mesh,section_junctions_net_q_w,Junction-region net wall heat,3298.0,-43.194857487600004
viscosity_screening_salt_test_3_kirst_coarse_mesh,section_other_net_q_w,Other net wall heat,3298.0,0.0
viscosity_screening_salt_test_4_jin_coarse_mesh,ambient_proxy_w,Derived ambient-loss proxy,2083.0,244.24024581527993
viscosity_screening_salt_test_4_jin_coarse_mesh,ambient_noncooling_proxy_w,Ambient-loss proxy excluding cooling branch excess,2083.0,140.99343219527995
viscosity_screening_salt_test_4_jin_coarse_mesh,cooling_branch_total_removal_w,Cooling branch total heat removal,2083.0,169.22681362
viscosity_screening_salt_test_4_jin_coarse_mesh,cooling_branch_excess_w,Cooling branch excess over operating cooling duty,2083.0,103.24681362
viscosity_screening_salt_test_4_jin_coarse_mesh,net_total_q_w,Net total wall heat,2083.0,0.37240998471996534
viscosity_screening_salt_test_4_jin_coarse_mesh,section_downcomer_net_q_w,Downcomer net wall heat,2083.0,-28.005468852
viscosity_screening_salt_test_4_jin_coarse_mesh,section_heater_net_q_w,Heater net wall heat,2083.0,310.5926558
viscosity_screening_salt_test_4_jin_coarse_mesh,section_upcomer_net_q_w,Upcomer net wall heat,2083.0,-24.459976878379997
viscosity_screening_salt_test_4_jin_coarse_mesh,section_test_section_net_q_w,Test-section net wall heat,2083.0,-16.52275142
viscosity_screening_salt_test_4_jin_coarse_mesh,section_cooling_branch_net_q_w,Cooling branch net wall heat,2083.0,-169.22681362
viscosity_screening_salt_test_4_jin_coarse_mesh,section_upper_transport_net_q_w,Upper transport net wall heat,2083.0,-15.0272776934
viscosity_screening_salt_test_4_jin_coarse_mesh,section_lower_transport_net_q_w,Lower transport net wall heat,2083.0,-8.123735682700001
viscosity_screening_salt_test_4_jin_coarse_mesh,section_junctions_net_q_w,Junction-region net wall heat,2083.0,-48.854221668799994
viscosity_screening_salt_test_4_jin_coarse_mesh,section_other_net_q_w,Other net wall heat,2083.0,0.0
viscosity_screening_salt_test_4_kirst_coarse_mesh,ambient_proxy_w,Derived ambient-loss proxy,2984.0,244.09050705061998
viscosity_screening_salt_test_4_kirst_coarse_mesh,ambient_noncooling_proxy_w,Ambient-loss proxy excluding cooling branch excess,2984.0,140.84369180061998
viscosity_screening_salt_test_4_kirst_coarse_mesh,cooling_branch_total_removal_w,Cooling branch total heat removal,2984.0,169.22681525
viscosity_screening_salt_test_4_kirst_coarse_mesh,cooling_branch_excess_w,Cooling branch excess over operating cooling duty,2984.0,103.24681524999998
viscosity_screening_salt_test_4_kirst_coarse_mesh,net_total_q_w,Net total wall heat,2984.0,0.41683114937993615
viscosity_screening_salt_test_4_kirst_coarse_mesh,section_downcomer_net_q_w,Downcomer net wall heat,2984.0,-28.087377630000002
viscosity_screening_salt_test_4_kirst_coarse_mesh,section_heater_net_q_w,Heater net wall heat,2984.0,310.48733819999995
viscosity_screening_salt_test_4_kirst_coarse_mesh,section_upcomer_net_q_w,Upcomer net wall heat,2984.0,-24.46965738422
viscosity_screening_salt_test_4_kirst_coarse_mesh,section_test_section_net_q_w,Test-section net wall heat,2984.0,-16.54605165
viscosity_screening_salt_test_4_kirst_coarse_mesh,section_cooling_branch_net_q_w,Cooling branch net wall heat,2984.0,-169.22681525
viscosity_screening_salt_test_4_kirst_coarse_mesh,section_upper_transport_net_q_w,Upper transport net wall heat,2984.0,-15.056133675100002
viscosity_screening_salt_test_4_kirst_coarse_mesh,section_lower_transport_net_q_w,Lower transport net wall heat,2984.0,-8.1430515508
viscosity_screening_salt_test_4_kirst_coarse_mesh,section_junctions_net_q_w,Junction-region net wall heat,2984.0,-48.5414199105
viscosity_screening_salt_test_4_kirst_coarse_mesh,section_other_net_q_w,Other net wall heat,2984.0,0.0
