source_id,case_label,branch_name,mean_q_enthalpy_w,mean_q_wall_total_w,mean_q_intended_transfer_w,mean_q_external_or_loss_w,mean_q_sink_or_cooling_w,mean_q_junction_or_unresolved_w,mean_q_residual_w,fit_use_status
viscosity_screening_salt_test_2_jin_coarse_mesh,Salt 2 Jin,upper_leg,149.32277302538853,-148.66920404842855,-136.35073988450986,-12.318464163918236,-136.35073988450986,-7.105427357601002e-15,297.9919770738171,excluded
viscosity_screening_salt_test_2_kirst_coarse_mesh,Salt 2 Kirst,left_lower_leg,-7.483490664635806,-8.158129440745885,nan,-8.158129440745885,nan,0.0,0.6746387761100803,fit_used
viscosity_screening_salt_test_2_kirst_coarse_mesh,Salt 2 Kirst,left_upper_leg,-3.0493118567732775,-9.539256427269796,nan,-9.539256427269796,nan,0.0,6.489944570496518,sensitivity_only
viscosity_screening_salt_test_2_kirst_coarse_mesh,Salt 2 Kirst,lower_leg,-149.51256177668463,212.02066408965794,243.6595110456795,-6.6119376021861855,0.0,-25.026909353835435,-361.5332258663426,excluded
viscosity_screening_salt_test_2_kirst_coarse_mesh,Salt 2 Kirst,right_leg,-188.53500076740917,-22.847201977731437,nan,-22.847201977731437,nan,0.0,-165.68779878967771,excluded
viscosity_screening_salt_test_2_kirst_coarse_mesh,Salt 2 Kirst,test_section_span,7.042423226469093,-7.14639002405919,-5.0397312470933775,-2.1066587769658103,-5.0397312470933775,0.0,14.188813250528284,sensitivity_only
viscosity_screening_salt_test_2_kirst_coarse_mesh,Salt 2 Kirst,upcomer,-3.4903792949399897,-24.84377589207487,-5.0397312470933775,-19.80404464498149,-5.0397312470933775,0.0,21.353396597134882,sensitivity_only
viscosity_screening_salt_test_2_kirst_coarse_mesh,Salt 2 Kirst,upper_leg,149.72072800568588,-148.59949407097417,-136.35073988450986,-12.248754186464039,-136.35073988450986,0.0,298.3202220766601,excluded
viscosity_screening_salt_test_3_jin_coarse_mesh,Salt 3 Jin,left_lower_leg,-5.2232524408291585,-9.075061588417569,nan,-9.075061588417569,nan,0.0,3.8518091475884098,sensitivity_only
viscosity_screening_salt_test_3_jin_coarse_mesh,Salt 3 Jin,left_upper_leg,-4.91536581441732,-10.541001270572629,nan,-10.541001270572629,nan,0.0,5.625635456155309,sensitivity_only
viscosity_screening_salt_test_3_jin_coarse_mesh,Salt 3 Jin,lower_leg,-164.7452113122343,237.9123800763165,273.28568046080335,-7.28415283485007,0.0,-28.089147549636778,-402.6575913885508,excluded
