row_id,case_key,segment,classification,anchor_status,Re,Ri_median,backflow_fraction,reverse_area_fraction,reverse_mass_fraction,source_path
f6_inventory:salt4_lo5q:test_section_span,salt4_lo5q,test_section_span,recirculation_diagnostic,not_anchor_recirculating,160.035202,29.72248589,,0.3764033442,0.4999969289,work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
f6_inventory:salt4_lo5q:left_upper_leg,salt4_lo5q,left_upper_leg,recirculation_diagnostic,not_anchor_recirculating,153.2865418,25.44596167,,0.7765350946,0.5000757768,work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
f6_inventory:salt4_hi5q:left_lower_leg,salt4_hi5q,left_lower_leg,recirculation_diagnostic,not_anchor_recirculating,166.7382592,47.1734398,,0.5228637749,0.4999749795,work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
f6_inventory:salt4_hi5q:test_section_span,salt4_hi5q,test_section_span,recirculation_diagnostic,not_anchor_recirculating,180.5527051,28.86760099,,0.3778960681,0.4999891842,work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
f6_inventory:salt4_hi5q:left_upper_leg,salt4_hi5q,left_upper_leg,recirculation_diagnostic,not_anchor_recirculating,172.3447967,91.3338926,,0.7762644,0.5001364439,work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
pm5_readiness:salt2_lo5q:left_lower_leg,salt2_lo5q,left_lower_leg,recirculation_diagnostic,not_anchor_recirculating,83.1101106,70.00886497,,0.6177451405,0.5000044571,work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv;work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/pm5_f6_internal_nu_unlock_scorecard.csv;jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt2_jin_lo5q_corrected/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation;work_products/2026-07/2026-07-01/2026-07-01_claude_mesh_centerlines/viscosity_screening_salt_test_2_jin_coarse_mesh/mesh_stations.json
pm5_readiness:salt2_lo5q:test_section_span,salt2_lo5q,test_section_span,recirculation_diagnostic,not_anchor_recirculating,87.454516,45.11688157,,0.3692928784,0.5000060995,work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv;work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/pm5_f6_internal_nu_unlock_scorecard.csv;jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt2_jin_lo5q_corrected/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation;work_products/2026-07/2026-07-01/2026-07-01_claude_mesh_centerlines/viscosity_screening_salt_test_2_jin_coarse_mesh/mesh_stations.json
pm5_readiness:salt2_lo5q:left_upper_leg,salt2_lo5q,left_upper_leg,recirculation_diagnostic,not_anchor_recirculating,85.86111594,23.79729264,,0.7901396438,0.5000621677,work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv;work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/pm5_f6_internal_nu_unlock_scorecard.csv;jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt2_jin_lo5q_corrected/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation;work_products/2026-07/2026-07-01/2026-07-01_claude_mesh_centerlines/viscosity_screening_salt_test_2_jin_coarse_mesh/mesh_stations.json
pm5_readiness:salt2_hi5q:left_lower_leg,salt2_hi5q,left_lower_leg,recirculation_diagnostic,not_anchor_recirculating,94.87281344,54.20195191,,0.6096763649,0.4999936722,work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv;work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/pm5_f6_internal_nu_unlock_scorecard.csv;jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt2_jin_hi5q_corrected/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation;work_products/2026-07/2026-07-01/2026-07-01_claude_mesh_centerlines/viscosity_screening_salt_test_2_jin_coarse_mesh/mesh_stations.json
pm5_readiness:salt2_hi5q:test_section_span,salt2_hi5q,test_section_span,recirculation_diagnostic,not_anchor_recirculating,100.0030491,78.04208245,,0.3748113482,0.4999916556,work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv;work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/pm5_f6_internal_nu_unlock_scorecard.csv;jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt2_jin_hi5q_corrected/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation;work_products/2026-07/2026-07-01/2026-07-01_claude_mesh_centerlines/viscosity_screening_salt_test_2_jin_coarse_mesh/mesh_stations.json
pm5_readiness:salt2_hi5q:left_upper_leg,salt2_hi5q,left_upper_leg,recirculation_diagnostic,not_anchor_recirculating,98.26301912,108.7458056,,0.785845516,0.5000672828,work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv;work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/pm5_f6_internal_nu_unlock_scorecard.csv;jadyn_runs/modern_runs/2026-07-04_corrected_salt_q_perturbations/runs/salt2_jin_hi5q_corrected/case_stage/viscosity_screening_salt_test_2_jin_coarse_mesh_continuation;work_products/2026-07/2026-07-01/2026-07-01_claude_mesh_centerlines/viscosity_screening_salt_test_2_jin_coarse_mesh/mesh_stations.json
pm5_readiness:val_salt2:left_lower_leg;test_section_span;left_upper_leg,val_salt2,left_lower_leg;test_section_span;left_upper_leg,not_admissible_missing_same_window_fields,not_anchor_missing_fields,,,,,,work_products/2026-07/2026-07-15/2026-07-15_val_salt2_postprocessing_admission_unlock/val_salt2_section_heat_loss_ledger.csv;work_products/2026-07/2026-07-17/2026-07-17_val_salt2_training_readiness_and_corner_k_unlock/val_salt2_training_admission_gate.csv
recirc_feature:f6_pm5:salt2_lo5q:left_lower_leg,salt2_lo5q,left_lower_leg,recirculation_diagnostic,not_anchor_recirculating,83.1101106,70.00886497,,0.6177451405,0.5000044571,work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
recirc_feature:f6_pm5:salt2_lo5q:test_section_span,salt2_lo5q,test_section_span,recirculation_diagnostic,not_anchor_recirculating,87.454516,45.11688157,,0.3692928784,0.5000060995,work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
recirc_feature:f6_pm5:salt2_lo5q:left_upper_leg,salt2_lo5q,left_upper_leg,recirculation_diagnostic,not_anchor_recirculating,85.86111594,23.79729264,,0.7901396438,0.5000621677,work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
recirc_feature:f6_pm5:salt2_hi5q:left_lower_leg,salt2_hi5q,left_lower_leg,recirculation_diagnostic,not_anchor_recirculating,94.87281344,54.20195191,,0.6096763649,0.4999936722,work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
recirc_feature:f6_pm5:salt2_hi5q:test_section_span,salt2_hi5q,test_section_span,recirculation_diagnostic,not_anchor_recirculating,100.0030491,78.04208245,,0.3748113482,0.4999916556,work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
recirc_feature:f6_pm5:salt2_hi5q:left_upper_leg,salt2_hi5q,left_upper_leg,recirculation_diagnostic,not_anchor_recirculating,98.26301912,108.7458056,,0.785845516,0.5000672828,work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
recirc_feature:f6_pm5:salt4_lo5q:left_lower_leg,salt4_lo5q,left_lower_leg,recirculation_diagnostic,not_anchor_recirculating,148.9247963,16.86404752,,0.5466041262,0.5000026995,work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
recirc_feature:f6_pm5:salt4_lo5q:test_section_span,salt4_lo5q,test_section_span,recirculation_diagnostic,not_anchor_recirculating,160.035202,29.72248589,,0.3764033442,0.4999969289,work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
recirc_feature:f6_pm5:salt4_lo5q:left_upper_leg,salt4_lo5q,left_upper_leg,recirculation_diagnostic,not_anchor_recirculating,153.2865418,25.44596167,,0.7765350946,0.5000757768,work_products/2026-07/2026-07-15/2026-07-15_pm5_wall_band_vtk_and_f6_unlock_repair/resampled_pm5_matched_plane_metrics.csv
