case_slug,fluid,group,series,unit,n_window,t_start,t_end,verdict,rel_drift_over_window,drift_ratio,near_zero_mean,trend_resolved,osc_mean,osc_rmse_about_mean,osc_rmse_about_trend,osc_var_about_mean,osc_peak_to_peak,osc_cov,fit_slope,fit_r2,fit_slope_se,fit_t_stat,unc_tau_int,unc_n_eff,unc_sem_naive,unc_sem_corrected,unc_rel_sem_corrected
modern_runs__2026-06-19_ethan_blocker_and_1d_followon_wave__salt2_jin_hiq_balq__viscosity_screening_salt_test_2_jin_coarse_mesh,salt2,temperature,probe 2 (-0 0 0),K,301,2132.0,2432.0,steady,9.268866223479081e-05,108.77004296633395,False,True,441.2131643687707,0.011850753884939525,0.00037598089373172376,0.00014044036764140924,0.04077599999999393,2.685947483433322e-05,0.00013631819321906742,0.9989934401709041,2.5023998532688187e-07,544.7498449977871,5.0151297596054665,60.01838724581261,0.0006830660981850378,0.0015296913757392948,3.467012091372601e-06
modern_runs__2026-06-19_ethan_blocker_and_1d_followon_wave__salt2_jin_hiq_balq__viscosity_screening_salt_test_2_jin_coarse_mesh,salt2,temperature,probe 3 (-0 0.323501 0),K,301,2132.0,2432.0,steady,0.00018696704625807787,154.12522839387296,False,True,449.091746435216,0.024325473528901832,0.0005447865881846242,0.0005917286624053038,0.08385999999995875,5.416593317956004e-05,0.0002798845244329134,0.9994984315522939,3.6259126489251073e-07,771.9009020139645,48.07579967605014,6.260946297892759,0.0014020969848177038,0.009721679823600768,2.164742483193949e-05
modern_runs__2026-06-19_ethan_blocker_and_1d_followon_wave__salt2_jin_hiq_balq__viscosity_screening_salt_test_2_jin_coarse_mesh,salt2,temperature,probe 4 (-0 0.574779 0),K,301,2132.0,2432.0,steady,0.00018615911884041622,168.16169347046264,False,True,449.89697228239186,0.024262811473143645,0.0004980469820480977,0.0005886840205813109,0.0838019999999915,5.3929706061489865e-05,0.0002791747464302041,0.9995786350781489,3.314829863901083e-07,842.1993221143939,59.832702306272694,5.030693724298727,0.001398485203968437,0.010817506998417038,2.4044409420090724e-05
modern_runs__2026-06-19_ethan_blocker_and_1d_followon_wave__salt2_jin_hiq_balq__viscosity_screening_salt_test_2_jin_coarse_mesh,salt2,temperature,probe 5 (-0 0.949515 0),K,301,2132.0,2432.0,steady,0.00018764879146239492,152.55963273654666,False,True,451.7831504651162,0.024560613496786038,0.0005556945875338594,0.0006032237353385085,0.08478500000001077,5.4363721780019e-05,0.0002825885406261746,0.9994880896481284,3.698512550744744e-07,764.059974784381,49.714677998383834,6.054549926075859,0.0014156502272484775,0.009981556707087237,2.209368963143292e-05
modern_runs__2026-06-19_ethan_blocker_and_1d_followon_wave__salt2_jin_hiq_balq__viscosity_screening_salt_test_2_jin_coarse_mesh,salt2,heat,total_Q,W,301,2132.0,2432.0,not steady (drifting),0.057124282686620315,2.3638177947069803,False,False,0.3641558903654488,0.010665141697442114,0.008800231587144158,0.00011374524742651846,0.04666200000000004,0.029287296950597466,6.934048007744604e-05,0.3191445116210232,5.857132263777865e-06,11.838639961447832,4.527294304757418,66.48562689721764,0.0006147285477863514,0.0013079849467106247,0.0035918269656382484
modern_runs__2026-06-19_ethan_blocker_and_1d_followon_wave__salt2_jin_hiq_hiins__viscosity_screening_salt_test_2_jin_coarse_mesh,salt2,mdot,lower (heater),kg/s,301,9159.0,9459.0,steady,3.1978267567309276e-05,0.29083108383196477,False,False,-0.01320302968797342,1.456877541969179e-06,1.4517362122993864e-06,2.122492172294157e-12,4.699969999999096e-06,0.00011034418435764348,-1.4073667202038063e-09,0.007045558230080351,9.662258229630063e-10,-1.456560864713807,4.8881748297332015,61.577175629871796,8.397302549595343e-08,1.856577855408718e-07,1.4061756273257997e-05
modern_runs__2026-06-19_ethan_blocker_and_1d_followon_wave__salt2_jin_hiq_hiins__viscosity_screening_salt_test_2_jin_coarse_mesh,salt2,temperature,probe 0 (0.887519 0.70409 0),K,301,9159.0,9459.0,steady,1.1757518745325742e-05,0.2853674535179467,False,False,450.9156684750835,0.0186416759545794,0.01857832545127107,0.0003475120823955438,0.0796640000000366,4.134182344477456e-05,1.7672164748856274e-05,0.006785104580950052,1.2365096114807813e-05,1.4291975238019365,2.389870484163144,125.94824782122055,0.0010744883390167014,0.0016610736517192175,3.6837789587943855e-06
modern_runs__2026-06-19_ethan_blocker_and_1d_followon_wave__salt2_jin_hiq_hiins__viscosity_screening_salt_test_2_jin_coarse_mesh,salt2,temperature,probe 1 (0.887519 -0.245426 0),K,301,9159.0,9459.0,steady,2.4932103586890213e-05,0.3046149973251218,False,False,445.5553505382058,0.036609437003551196,0.03646777818183146,0.0013402508777169836,0.17248900000004141,8.216585651890175e-05,3.702877384437242e-05,0.00772395106754542,2.4271702177603228e-05,1.5255944380588524,1.9439151337806342,154.84215065222446,0.002110132868639375,0.002942039184925531,6.603083503254339e-06
modern_runs__2026-06-19_ethan_blocker_and_1d_followon_wave__salt2_jin_hiq_hiins__viscosity_screening_salt_test_2_jin_coarse_mesh,salt2,temperature,probe 2 (-0 0 0),K,301,9159.0,9459.0,steady,1.5085962560853254e-05,13.889271727302443,False,True,441.72526038538206,0.0019888284931258706,0.00047978402836325486,3.955438775069322e-06,0.007752999999979693,4.502410596556607e-06,2.2212835801190095e-05,0.941803494640506,3.1932779090461236e-07,69.56123592708339,4.662527274540912,64.55726310569143,0.00011463416858949049,0.000247528253842446,5.603669883549123e-07
modern_runs__2026-06-19_ethan_blocker_and_1d_followon_wave__salt2_jin_hiq_hiins__viscosity_screening_salt_test_2_jin_coarse_mesh,salt2,temperature,probe 3 (-0 0.323501 0),K,301,9159.0,9459.0,steady,1.4118926772862786e-05,24.06764778974381,False,True,449.71661857807305,0.00185787374576282,0.00026381954986681586,3.4516948551947723e-06,0.006934000000001106,4.131209897550815e-06,2.1165053354144258e-05,0.9798357740727919,1.7558924240103273e-07,120.53730094583389,4.958076639609249,60.70902526906524,0.00010708606243619635,0.00023844573986368114,5.302133165939158e-07
modern_runs__2026-06-19_ethan_blocker_and_1d_followon_wave__salt2_jin_hiq_hiins__viscosity_screening_salt_test_2_jin_coarse_mesh,salt2,temperature,probe 4 (-0 0.574779 0),K,301,9159.0,9459.0,steady,1.3830393363479737e-05,53.50145108461742,False,True,450.50978905647884,0.001808395513253426,0.00011645903934259497,3.270294332355122e-06,0.006229000000018914,4.014109253964987e-06,2.0769091989164604e-05,0.9958527562151164,7.751114160888218e-08,267.9497625510992,5.108975129783574,58.915925866476265,0.00010423418452586066,0.000235600966295099,5.229652540703451e-07
modern_runs__2026-06-19_ethan_blocker_and_1d_followon_wave__salt2_jin_hiq_hiins__viscosity_screening_salt_test_2_jin_coarse_mesh,salt2,temperature,probe 5 (-0 0.949515 0),K,301,9159.0,9459.0,steady,1.3786412392346698e-05,23.776065114224632,False,True,452.3799039800661,0.0018253164690610725,0.0002623098432948071,3.331780212225581e-06,0.006948999999963235,4.034919440500841e-06,2.078898638093131e-05,0.979348441521782,1.7458443349524582e-07,119.07697590631655,4.254505173286819,70.74853308204169,0.00010520949220445309,0.00021700985287097994,4.797071022866267e-07
modern_runs__2026-06-19_ethan_blocker_and_1d_followon_wave__salt2_jin_hiq_hiins__viscosity_screening_salt_test_2_jin_coarse_mesh,salt2,wall_temperature,wall T (spatial mean),K,301,9159.0,9459.0,steady,1.2962443015946243e-05,6.005424314883963,False,True,448.9744133630322,0.0019443420580400207,0.0009690914319596498,3.7804660386633033e-06,0.008670977272629443,4.3306299872992145e-06,1.9399350829453997e-05,0.7515813675105345,6.449940136772648e-07,30.07679206021412,4.5524525895434005,66.11820641281835,0.00011207001309935994,0.00023911792783743314,5.325869820650267e-07
