source_id,case_label,feature_name,feature_class,mean_abs_delta_p_rgh_pa,mean_existing_span_reference_dp_pa,mean_local_boundary_reference_dp_pa,mean_reference_method_gap_fraction,mean_feature_excess_dp_existing_pa,mean_feature_excess_dp_local_pa,fit_use_status
viscosity_screening_salt_test_3_jin_coarse_mesh,Salt 3 Jin,corner_lower_right,bend,2.6360796765,3.2909376982247878,3.2911352064442925,0.0006215724287025345,-0.6548580217247879,-0.6550555299442924,excluded
viscosity_screening_salt_test_3_jin_coarse_mesh,Salt 3 Jin,corner_upper_left,bend,1.55220586,3.3599204026487532,3.265258933305626,0.028990498562135272,-1.8077145426487535,-1.713053073305626,excluded
viscosity_screening_salt_test_3_jin_coarse_mesh,Salt 3 Jin,corner_upper_right,bend,10.57082165125,3.722799621191473,3.2162616287671266,0.1574934091691747,6.848022030058528,7.3545600224828735,fit_used
viscosity_screening_salt_test_3_jin_coarse_mesh,Salt 3 Jin,test_section_complex,quartz_transition,6.5910313685,4.456582580954239,3.5356996456562086,0.2604528175423108,2.134448787545761,3.055331722843792,fit_used
viscosity_screening_salt_test_3_kirst_coarse_mesh,Salt 3 Kirst,corner_lower_left,bend,0.5379278012500002,3.6075063318344145,3.58750067266422,0.005576491584384502,-3.0695785305844145,-3.0495728714142194,excluded
viscosity_screening_salt_test_3_kirst_coarse_mesh,Salt 3 Kirst,corner_lower_right,bend,2.7202840257500007,3.2777525237221585,3.3223798354492016,0.013432197044779312,-0.5574684979721576,-0.6020958096992004,excluded
viscosity_screening_salt_test_3_kirst_coarse_mesh,Salt 3 Kirst,corner_upper_left,bend,3.414532995,3.5757504698791838,3.3706766206149075,0.06084055927998335,-0.16121747487918336,0.04385637438509293,fit_used
viscosity_screening_salt_test_3_kirst_coarse_mesh,Salt 3 Kirst,corner_upper_right,bend,8.9529821655,3.6683159534469287,3.264411704547648,0.12373041726405437,5.284666212053072,5.688570460952352,fit_used
viscosity_screening_salt_test_3_kirst_coarse_mesh,Salt 3 Kirst,test_section_complex,quartz_transition,6.1950993565,4.8056035139746465,3.871869313963198,0.24115850101409136,1.389495842525354,2.3232300425368027,fit_used
viscosity_screening_salt_test_4_jin_coarse_mesh,Salt 4 Jin,corner_lower_left,bend,0.8570143419999998,3.4570797715394708,3.8156535950015766,0.09397442217446765,-2.600065429539471,-2.958639253001577,excluded
viscosity_screening_salt_test_4_jin_coarse_mesh,Salt 4 Jin,corner_lower_right,bend,2.3263323029999996,3.4721265928335834,3.38436230030769,0.025954887889520578,-1.1457942898335838,-1.0580299973076905,excluded
viscosity_screening_salt_test_4_jin_coarse_mesh,Salt 4 Jin,corner_upper_left,bend,1.1605733049999998,3.2713710758395376,3.3482324953980775,0.02295318993405114,-2.110797770839538,-2.1876591903980778,excluded
viscosity_screening_salt_test_4_jin_coarse_mesh,Salt 4 Jin,corner_upper_right,bend,11.042015061999997,3.9379936036170426,3.4483434515935154,0.14200815400016104,7.104021458382957,7.593671610406483,fit_used
viscosity_screening_salt_test_4_jin_coarse_mesh,Salt 4 Jin,test_section_complex,quartz_transition,8.782543147999998,4.507745957503808,3.466240235151302,0.30047130042167464,4.274797190496193,5.316302912848698,fit_used
viscosity_screening_salt_test_4_kirst_coarse_mesh,Salt 4 Kirst,corner_lower_left,bend,0.7292125172499999,3.6505635766555313,3.8961326744840585,0.06302893344138316,-2.9213510594055316,-3.1669201572340584,excluded
viscosity_screening_salt_test_4_kirst_coarse_mesh,Salt 4 Kirst,corner_lower_right,bend,2.6705505479999996,3.542558390199605,3.450994101006824,0.02653274556402061,-0.8720078421996051,-0.7804435530068241,excluded
viscosity_screening_salt_test_4_kirst_coarse_mesh,Salt 4 Kirst,corner_upper_left,bend,1.9600395675,3.4637751940117942,3.4416082487649695,0.006440878134595757,-1.5037356265117943,-1.4815686812649695,excluded
viscosity_screening_salt_test_4_kirst_coarse_mesh,Salt 4 Kirst,corner_upper_right,bend,11.297425465500002,3.9928170629615307,3.423334974631859,0.16635359702354385,7.304608402538469,7.8740904908681415,fit_used
viscosity_screening_salt_test_4_kirst_coarse_mesh,Salt 4 Kirst,test_section_complex,quartz_transition,8.54999935625,4.761181832708682,3.7321945999952675,0.2757056763578857,3.7888175235413177,4.817804756254732,fit_used
