source_id,case_label,time_s,span_name,bin_index,selection_status,stored_bulk_temp_flow_weighted_k,stored_bulk_temp_area_weighted_k,exact_bulk_temp_flow_weighted_k,exact_bulk_temp_cp_weighted_k,exact_bulk_temp_area_weighted_k,delta_exact_minus_stored_flow_k,delta_exact_flow_minus_stored_flow_k,delta_exact_cp_minus_exact_flow_k
val_water_test_1_coarse_mesh_laminar,Water 1,5270.0,left_upper_leg,16,aligned_area_match,315.6728982423925,315.41598663743207,315.67289611994437,315.6729033344216,315.41598663743207,5.0920291414513486e-06,-2.1224481088211178e-06,7.214477250272466e-06
val_water_test_1_coarse_mesh_laminar,Water 1,5270.0,left_upper_leg,17,aligned_area_match,315.6616781328344,315.4105851463655,315.6616760908411,315.6616830419815,315.4105851463655,4.909147094167565e-06,-2.0419932980075828e-06,6.951140392175148e-06
val_water_test_1_coarse_mesh_laminar,Water 1,5270.0,left_upper_leg,18,aligned_area_match,315.6386816270975,315.3994801579179,315.63867981883124,315.6386860052418,315.3994801579179,4.378144296879327e-06,-1.808266290481697e-06,6.186410587361024e-06
val_water_test_1_coarse_mesh_laminar,Water 1,5270.0,left_upper_leg,19,aligned_area_match,315.6248719134095,315.39337000583396,315.6248702800664,315.6248758864623,315.39337000583396,3.973052798755816e-06,-1.633343117646291e-06,5.606395916402107e-06
val_water_test_1_coarse_mesh_laminar,Water 1,5270.0,left_upper_leg,20,aligned_area_match,315.62065226993434,315.3915269735913,315.6206506909005,315.62065611339153,315.3915269735913,3.843457193397626e-06,-1.5790338352417166e-06,5.422491028639342e-06
val_water_test_1_coarse_mesh_laminar,Water 1,5270.0,left_upper_leg,21,aligned_area_match,315.61963375550147,315.3911415855158,315.6196321998493,315.619637539874,315.3911415855158,3.784372552217974e-06,-1.5556521475446061e-06,5.34002469976258e-06
val_water_test_1_coarse_mesh_laminar,Water 1,5270.0,left_upper_leg,22,aligned_area_match,315.61857758895155,315.3907610340694,315.61857605538216,315.61858131810686,315.3907610340694,3.729155309883936e-06,-1.533569388811884e-06,5.26272469869582e-06
val_water_test_1_coarse_mesh_laminar,Water 1,5270.0,left_upper_leg,23,aligned_area_match,315.61441496134967,315.3880136715969,315.61441344651877,315.61441864806034,315.3880136715969,3.6867106700810837e-06,-1.5148308989409998e-06,5.201541569022083e-06
val_water_test_1_coarse_mesh_laminar,Water 1,5270.0,left_upper_leg,24,aligned_area_match,315.610633691595,315.3858126212872,315.61063223120163,315.610637249375,315.3858126212872,3.557779962193308e-06,-1.4603933777834754e-06,5.018173339976784e-06
val_water_test_1_coarse_mesh_laminar,Water 1,5270.0,left_upper_leg,25,aligned_area_match,315.6097523129599,315.38501255152516,315.60975088430183,315.6097557933086,315.38501255152516,3.4803486528289795e-06,-1.4286580949374184e-06,4.909006747766398e-06
